年度,課題曲,,,自由曲,,,,奈良県大会,,,関西大会,,,指揮者,備考
2006,海へ... 吹奏楽の為に,,三澤慶,吹奏楽のための音詩「輝きの海へ」,,八木澤教司,,Thu Aug 10 2006 00:00:00 GMT+0900 (Japan Standard Time),銀賞,奈良県文化会館　国際ホール,,,,田中修,
2007,マーチ「ブルースカイ」,,高木登古,たなばた,,酒井格,,Tue Aug 07 2007 00:00:00 GMT+0900 (Japan Standard Time),銀賞,橿原文化会館　大ホール,,,,田中修,
2008,ブライアンの休日,,内藤淳一,喜歌劇《メリー・ウィドウ》 セレクション,,レハール,鈴木英史,Fri Aug 08 2008 00:00:00 GMT+0900 (Japan Standard Time),銀賞,奈良県文化会館　国際ホール,,,,田中修,
2009,ネストリアン・モニュメント,,平田智暁,マゼランの未知なる大陸への挑戦,,樽屋雅徳,,Tue Aug 11 2009 00:00:00 GMT+0900 (Japan Standard Time),銀賞,橿原文化会館　大ホール,,,,田中修,
2010,汐風のマーチ,,田嶋勉,歌劇《カヴァレリア・ルスティカーナ》,,マスカーニ,,Fri Aug 06 2010 00:00:00 GMT+0900 (Japan Standard Time),銀賞,奈良県文化会館,,,,田中修,
2011,マーチ「ライヴリー アヴェニュー」,,堀田庸元,マードックからの最後の手紙,,樽屋雅徳,,Tue Aug 09 2011 00:00:00 GMT+0900 (Japan Standard Time),銀賞,橿原文化会館　大ホール,,,,竹本富如,
2012,吹奏楽のための綺想曲「じゅげむ」,,足立正,古いアメリカの賛歌による序曲,,C.T.スミス,,Sun Aug 05 2012 00:00:00 GMT+0900 (Japan Standard Time),銀賞,奈良県文化会館　国際ホール,,,,竹本富如,
2013,復興への序曲「夢の明日に」,,岩井直溥,吹奏楽のためのファンファーレとソリロクイ,,シャープ,,Fri Aug 09 2013 00:00:00 GMT+0900 (Japan Standard Time),銀賞,橿原文化会館　大ホール,,,,竹本富如,
2014,「斎太郎節」の主題による幻想,,合田佳代子,アトラス ～夢への地図～,,福島弘和,,Thu Aug 07 2014 00:00:00 GMT+0900 (Japan Standard Time),銀賞,奈良県文化会館　国際ホール,,,,竹本富如,
2015,マーチ「春の道を歩こう」,,佐藤邦宏,吹奏楽のための「竹田の子守唄」による幻想曲,,山本教生,,Wed Aug 05 2015 00:00:00 GMT+0900 (Japan Standard Time),金賞,橿原文化会館　大ホール,Sun Aug 23 2015 00:00:00 GMT+0900 (Japan Standard Time),銅賞,奈良県文化会館,竹本富如,
2016,マーチ・スカイブルー・ドリーム,,矢藤学,スパルタカス,,ノース,カカヴァス,Thu Aug 04 2016 00:00:00 GMT+0900 (Japan Standard Time),金賞,奈良県文化会館　国際ホール,Sun Aug 21 2016 00:00:00 GMT+0900 (Japan Standard Time),銅賞,和歌山県民文化会館,竹本富如,
2017,マーチ・シャイニング・ロード,,木内涼,ジェラシー,,ゲーゼ,岩井直溥,Sun Aug 06 2017 00:00:00 GMT+0900 (Japan Standard Time),銀賞,橿原文化会館　大ホール,Sun Aug 20 2017 00:00:00 GMT+0900 (Japan Standard Time),銅賞,姫路市文化センター,竹本富如,
2018,吹奏楽のための「ワルツ」,,高昌帥,梁塵秘抄～熊野古道の幻想～,,福島弘和,,Tue Aug 07 2018 00:00:00 GMT+0900 (Japan Standard Time),銀賞,橿原文化会館　大ホール,Sun Aug 19 2018 00:00:00 GMT+0900 (Japan Standard Time),銅賞,ひこね市文化プラザ,竹本富如,
